,values
793,3.068798301590651e+17
794,3.068790922748232e+17
795,3.068784070965985e+17
796,3.068777746243912e+17
797,3.068771421521838e+17
798,3.068765623859937e+17
799,3.0687598261980365e+17
800,3.0687545555963085e+17
801,3.068749548524667e+17
802,3.068744541453025e+17
803,3.0687400614415565e+17
804,3.068735581430088e+17
805,3.068731628478792e+17
806,3.068727411997409e+17
807,3.0687237225762e+17
808,3.06872003315499e+17
809,3.068716607263867e+17
810,3.068713181372744e+17
811,3.068710282541793e+17
812,3.0687071201807565e+17
813,3.0687044848798925e+17
814,3.068701586048942e+17
815,3.0686992142781645e+17
816,3.0686965789773005e+17
817,3.068694470736609e+17
818,3.068692098965832e+17
819,3.0686899907251405e+17
820,3.068688146014536e+17
821,3.0686860377738445e+17
822,3.06868419306324e+17
823,3.068682611882721e+17
824,3.068681030702203e+17
825,3.0686794495216845e+17
826,3.068677868341166e+17
827,3.068676287160648e+17
828,3.068675233040302e+17
829,3.06867391538987e+17
830,3.068672597739438e+17
831,3.0686715436190925e+17
832,3.068670489498747e+17
833,3.068669435378401e+17
834,3.068668381258056e+17
835,3.06866732713771e+17
836,3.068666536547451e+17
837,3.068665482427105e+17
838,3.068664691836846e+17
839,3.068663901246587e+17
840,3.068663110656328e+17
841,3.068662583596155e+17
842,3.068661793005896e+17
843,3.068661265945723e+17
844,3.068660475355464e+17
845,3.068660211825377e+17
846,3.068659421235118e+17
847,3.068659157705032e+17
848,3.0686583671147725e+17
849,3.068658103584686e+17
850,3.068657312994427e+17
851,3.0686570494643405e+17
852,3.068656522404168e+17
853,3.068656258874081e+17
854,3.0686557318139085e+17
855,3.068655468283822e+17
856,3.068655204753736e+17
857,3.068654677693563e+17
858,3.0686544141634765e+17
859,3.06865415063339e+17
860,3.068653623573217e+17
861,3.068653623573217e+17
862,3.068653360043131e+17
863,3.0686530965130445e+17
864,3.068652832982958e+17
865,3.068652569452872e+17
866,3.068652305922785e+17
867,3.068652305922785e+17
868,3.068652042392699e+17
869,3.068652042392699e+17
870,3.068651515332526e+17
871,3.068651515332526e+17
872,3.068651515332526e+17
873,3.06865125180244e+17
874,3.06865125180244e+17
875,3.06865125180244e+17
876,3.068650988272353e+17
877,3.068650724742267e+17
878,3.068650724742267e+17
879,3.0686504612121805e+17
880,3.068650197682094e+17
881,3.068650197682094e+17
882,3.068650197682094e+17
883,3.068650197682094e+17
884,3.068650197682094e+17
885,3.068649934152008e+17
886,3.068649934152008e+17
887,3.068649670621921e+17
888,3.068649670621921e+17
889,3.068649670621921e+17
890,3.068649670621921e+17
891,3.068649670621921e+17
892,3.068649670621921e+17
893,3.068649407091835e+17
894,3.068649407091835e+17
895,3.068649407091835e+17
896,3.0686491435617485e+17
897,3.0686491435617485e+17
898,3.0686491435617485e+17
899,3.0686491435617485e+17
900,3.0686491435617485e+17
901,3.068648880031662e+17
902,3.068648880031662e+17
903,3.068648880031662e+17
904,3.068648880031662e+17
905,3.068648880031662e+17
906,3.068648880031662e+17
907,3.068648880031662e+17
908,3.068648880031662e+17
909,3.068648880031662e+17
910,3.068648880031662e+17
911,3.068648880031662e+17
912,3.068648880031662e+17
913,3.068648880031662e+17
914,3.068648880031662e+17
915,3.068648880031662e+17
916,3.068648880031662e+17
917,3.068648880031662e+17
918,3.068648880031662e+17
919,3.068648880031662e+17
920,3.068648880031662e+17
921,3.068648880031662e+17
922,3.068648880031662e+17
923,3.068648880031662e+17
924,3.068648880031662e+17
925,3.068648880031662e+17
926,3.068648880031662e+17
927,3.068648880031662e+17
928,3.068648880031662e+17
929,3.068648880031662e+17
930,3.068648880031662e+17
931,3.068648880031662e+17
932,3.068648880031662e+17
933,3.068648880031662e+17
934,3.068648880031662e+17
935,3.068648880031662e+17
936,3.068648880031662e+17
937,3.068648880031662e+17
938,3.068648880031662e+17
